PERMNO,date,TICKER,COMNAM,PRC,VOL,RET,SHROUT
61241,2024-09-11,AMD,ADVANCED MICRO DEVICES INC,149.86000,50576361,0.049146,1618482
61241,2024-09-12,AMD,ADVANCED MICRO DEVICES INC,150.77000,29116380,0.006072,1618482
61241,2024-09-13,AMD,ADVANCED MICRO DEVICES INC,152.31000,24954058,0.010214,1618482
61241,2024-09-16,AMD,ADVANCED MICRO DEVICES INC,152.08000,27521542,-0.001510,1618482
61241,2024-09-17,AMD,ADVANCED MICRO DEVICES INC,150.82001,29789765,-0.008285,1618482
61241,2024-09-18,AMD,ADVANCED MICRO DEVICES INC,148.28999,26202009,-0.016775,1618482
61241,2024-09-19,AMD,ADVANCED MICRO DEVICES INC,156.74001,44082766,0.056983,1618482
61241,2024-09-20,AMD,ADVANCED MICRO DEVICES INC,155.95000,40085528,-0.005040,1618482
61241,2024-09-23,AMD,ADVANCED MICRO DEVICES INC,156.75000,21627436,0.005130,1618482
61241,2024-09-24,AMD,ADVANCED MICRO DEVICES INC,158.32001,27454452,0.010016,1618482
61241,2024-09-25,AMD,ADVANCED MICRO DEVICES INC,162.02000,35078164,0.023370,1618482
61241,2024-09-26,AMD,ADVANCED MICRO DEVICES INC,167.49001,37782645,0.033761,1618482
61241,2024-09-27,AMD,ADVANCED MICRO DEVICES INC,164.35001,27999231,-0.018747,1623000
61241,2024-09-30,AMD,ADVANCED MICRO DEVICES INC,164.08000,21803114,-0.001643,1623000
61241,2024-10-01,AMD,ADVANCED MICRO DEVICES INC,159.75000,31950778,-0.026390,1623000
61241,2024-10-02,AMD,ADVANCED MICRO DEVICES INC,159.78000,24471155,0.000188,1623000
61241,2024-10-03,AMD,ADVANCED MICRO DEVICES INC,162.85001,29407379,0.019214,1623000
61241,2024-10-04,AMD,ADVANCED MICRO DEVICES INC,170.89999,44410794,0.049432,1623000
61241,2024-10-07,AMD,ADVANCED MICRO DEVICES INC,170.97000,38186242,0.000410,1623000
61241,2024-10-08,AMD,ADVANCED MICRO DEVICES INC,172.80000,34524022,0.010704,1623000
61241,2024-10-09,AMD,ADVANCED MICRO DEVICES INC,171.02000,33695126,-0.010301,1623000
61241,2024-10-10,AMD,ADVANCED MICRO DEVICES INC,164.17999,74717003,-0.039995,1623000
61241,2024-10-11,AMD,ADVANCED MICRO DEVICES INC,167.89000,41927131,0.022597,1623000
61241,2024-10-14,AMD,ADVANCED MICRO DEVICES INC,165.27000,31640415,-0.015605,1623000
61241,2024-10-15,AMD,ADVANCED MICRO DEVICES INC,156.64000,50359147,-0.052218,1623000
61241,2024-10-16,AMD,ADVANCED MICRO DEVICES INC,156.13000,30358267,-0.003256,1623000
61241,2024-10-17,AMD,ADVANCED MICRO DEVICES INC,156.25000,29327915,0.000769,1623000
61241,2024-10-18,AMD,ADVANCED MICRO DEVICES INC,155.97000,23678134,-0.001792,1623000
61241,2024-10-21,AMD,ADVANCED MICRO DEVICES INC,157.89999,25580264,0.012374,1623000
61241,2024-10-22,AMD,ADVANCED MICRO DEVICES INC,154.09000,34797656,-0.024129,1623000
61241,2024-10-23,AMD,ADVANCED MICRO DEVICES INC,152.91000,26016226,-0.007658,1622807
61241,2024-10-24,AMD,ADVANCED MICRO DEVICES INC,153.44000,22811293,0.003466,1622807
61241,2024-10-25,AMD,ADVANCED MICRO DEVICES INC,156.23000,29603231,0.018183,1622807
61241,2024-10-28,AMD,ADVANCED MICRO DEVICES INC,159.92000,35819912,0.023619,1622807
61241,2024-10-29,AMD,ADVANCED MICRO DEVICES INC,166.25000,71408397,0.039582,1622807
61241,2024-10-30,AMD,ADVANCED MICRO DEVICES INC,148.60001,86448046,-0.106165,1622807
61241,2024-10-31,AMD,ADVANCED MICRO DEVICES INC,144.07001,44003572,-0.030485,1622807
61241,2024-11-01,AMD,ADVANCED MICRO DEVICES INC,141.86000,38827982,-0.015340,1622807
61241,2024-11-04,AMD,ADVANCED MICRO DEVICES INC,140.71001,28985352,-0.008107,1622807
61241,2024-11-05,AMD,ADVANCED MICRO DEVICES INC,141.66000,26898850,0.006751,1622807
61241,2024-11-06,AMD,ADVANCED MICRO DEVICES INC,145.10001,32764152,0.024284,1622807
61241,2024-11-07,AMD,ADVANCED MICRO DEVICES INC,149.82001,30217336,0.032529,1622807
61241,2024-11-08,AMD,ADVANCED MICRO DEVICES INC,147.95000,27419156,-0.012482,1622807
61241,2024-11-11,AMD,ADVANCED MICRO DEVICES INC,147.35001,29765102,-0.004055,1622807
61241,2024-11-12,AMD,ADVANCED MICRO DEVICES INC,143.63000,33447738,-0.025246,1622807
61241,2024-11-13,AMD,ADVANCED MICRO DEVICES INC,139.30000,35003626,-0.030147,1622807
61241,2024-11-14,AMD,ADVANCED MICRO DEVICES INC,138.84000,31602555,-0.003302,1622807
61241,2024-11-15,AMD,ADVANCED MICRO DEVICES INC,134.89999,43957204,-0.028378,1622807
61241,2024-11-18,AMD,ADVANCED MICRO DEVICES INC,138.92999,38573592,0.029874,1622807
61241,2024-11-19,AMD,ADVANCED MICRO DEVICES INC,139.39000,22983768,0.003311,1622807
