date,ess,llm_sentiment,tangibility,relevance,composite,mkt_rf,smb,hml,rf
2024-06-07,-0.00151475,0.0238565,0.0146469666666666,0.0039001333333333,0.017468,-0.0023,-0.009899999999999999,0.0007000000000000001,0.0002
2024-06-10,-0.0017992,0.0025099999999999,0.0004028,0.0004028,-0.0028415999999999,0.0027,-0.0012,-0.0028000000000000004,0.0002
2024-06-11,-0.0212507619047619,-0.0142172619047619,0.0054084285714285,0.0125675714285714,0.0054084285714285,0.002,0.0013,-0.0106,0.0002
2024-06-12,-0.0202720555555555,-0.00628225,,,,0.009399999999999999,0.0084,0.0009,0.0002
2024-06-13,0.0042990333333333,0.0132784999999999,0.0101449333333333,0.011125,0.0122269333333333,0.0005,-0.0085,-0.0063,0.0002
2024-06-14,0.015464,0.0132549333333333,-0.0093038,-0.0229724,-0.0229724,-0.0016,-0.0129,-0.0064,0.0002
2024-06-17,0.0272922714285714,0.0332738333333333,0.0165458333333333,0.0163094047619047,0.0163094047619047,0.0078000000000000005,-0.0040999999999999995,0.0052,0.0002
2024-06-18,-0.0126643999999999,-0.0149055333333333,0.0019804285714285,0.0253587333333333,0.0007086,0.002,-0.0054,0.0037,0.0002
2024-06-20,0.006332,-0.020612,0.01428925,0.0060139999999999,-0.0023678,-0.003,-0.0037,0.0025,0.0002
2024-06-21,0.00844525,0.01592525,0.00946875,-0.0004986666666666,0.01564,-0.0013,0.0058,-0.0051,0.0002
2024-06-24,-0.032743,-0.0325315,-0.00793025,-0.0201674999999999,-0.0263655,-0.0026,0.0025,0.0109,0.0002
2024-06-25,0.02266915,0.01414075,0.00630525,0.00455935,0.0082972499999999,0.0031,-0.005600000000000001,-0.0121,0.0002
2024-06-26,0.0031466666666666,0.0031466666666666,0.00217375,0.0109865333333333,0.0118389166666666,0.0016,0.001,-0.0021,0.0002
2024-06-27,-0.0185756666666666,0.0011542499999999,0.012369,0.01171375,0.01856125,0.0014000000000000002,0.0072,-0.0039000000000000003,0.0002
2024-06-28,0.0071368666666666,0.0075263333333333,-0.0052543333333333,-0.0053599999999999,0.005823,-0.0034999999999999996,0.0072,0.0127,0.0002
